C(C(=O)O)N AGLYSL01
OC(=O)C(O)C(O)C(=O)[O-] AMHTAR01
[nH+]1c(nc(c2c1nc(c(n2)C)C)N)N AMPTRB10
C(=O)(C(CCC[NH+]=C(N)N)N)[O-] ARGIND11
O=C([O-])C(=O)[O-] BAOXLM01
Brc1ccc(cc1)S(=O)(=O)NC2C(=O)SC2 BBSPRT10
C1(=C(C#N)C#N)C(=C(C#N)C#N)C(=C(C#N)C#N)C1=C(C#N)C#N BEVJER10
N12C(=C(CC1C(=C(C)COC(=O)C)C2=O)S(=O)C=CNC(=O)C)C(=O)OCc3ccc(cc3)[N+](=O)[O-] BEWCUB
S(=O)(=O)([N-]c1[nH+]cccc1)c2ccc(cc2)N BEWKUJ04
[O-]c1c([nH+]cc2c1C(OC2)O)C BIHKEI01
n1(c(=O)[nH]c(=O)c(c1)F)C2CCCO2 BIPDEJ02
c1(c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-])C(=O)O BIPJUF10
[nH+]1c(cccc1)c2[nH+]cccc2 BIPYCL01
c12ccccc1nc(s2)n3c(cc(n3)C)C BITNAT10
c12c(cccc1)Sc3ccccc3N2 BIYBIU10
CSC1=NNC(S1)C.n1c(scc1C(=NOC)C(=O)N)N BODKOU
Brc1cc(c(cc1)O)C=Nc2ncccc2 BSALAP01
P(=S)(C(C)(C)C)(C)P(=S)(C(C)(C)C)C BUPSLB10
P(=S)(SP(=S)(C(C)(C)C)C)(C(C)(C)C)C BUPSLD10
n1ccn2c1c(cn2C3C(C(C(O3)CO)O)O)C#N BUYTIY10
n1(ccn2c1c(cn2)C#N)C3C(C(C(O3)CO)O)O BUYTOE10
O=CNC(C(=O)NC(C(C)C)C(=O)O)CCSC BUYXEY10
O1SC(=NC(=O)c2ccccc2)N(CC1)C BYITOT02
S1(=O)(=O)CC(=CC1)c2ccccc2 CABWEH10
C(=O)[O-] CAFORM07
S1(=O)(=O)OC(=NS(=O)(=O)O1)c2ccccc2 CAGREH10
[NH3+]C(C)C(=O)NCC(=O)NCC(=O)[O-] CALXES20
C(=O)(CC(=O)[O-])[O-] CAMALD03
S1CC(=C(N2C1C(C2=O)NC(=O)C(=NOC)c3nc(sc3)N)C(=O)O)CSc4n(nnn4)C CEFMEN
S1C(C(OC2C1OC(C(C2O)O)CO)C)C#N CETROI01
P(=O)(c1ccccc1)(c2ccccc2)c3ccccc3 CEWCUC10
O=c1n(c(=O)c2[nH]cnc2n1CC(C)C)C CEWVIJ10
Oc1c-2c(ccc1)-c3c2c(ccc3)O CEWYIM30
O1CC1C2OC2C3OC3 CIHWUL10
C12CC(C(C(=[NH+]1)C)C(=O)C2)C CIJXOI10
N1=CN=C2C(=CN=C3N2C1=CC=C3)C#N CIKSEU10
C1(C(C(C(C(O1)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC CILBII
S=C(NN=C(C(=O)O)CCC(=O)O)N CILDOQ
n1nnccc1 CILWUP11
ClC1C(C1)(NC(=O)c2ccccc2)C(=O)OC CIMRUL10
O=C1C(C(C(C=C1[N+](=O)[O-])([N+](=O)[O-])C2CC2)[N+](=O)[O-])(O)C CINVIE
n1nn(n2c1c(c(n2)C)C(=O)OCC)C CIPVOM
C1(=C(C#N)C#N)C(=C(C#N)C#N)C1=C(C#N)C#N CIPYAB10
s1nc2c(n1)ccc3c2nsn3 CISMOG
c1c2c(c(cc1[N+](=O)[O-])[N+](=O)[O-])cnn2c3nnn[nH]3 CISPOJ
c1(c(c(ccc1Cl)Cl)Cl)OC(=O)C CITDIS
S(CC)C(=O)CNC(=O)c1ccccc1 CITNOI10
S(CC)C(=S)C(NC(=O)c1ccccc1)C CITPEA10
NC=[NH+]O CITSED10
O=c1n(c(=O)n(c(=O)n1CC2OC2)CC3OC3)CC4OC4 CIVCEP02
C12C(C(C1C(=O)OC)C23OCCO3)C(=O)OC CIVLAU02
OC1CC2OC(=O)OC(C2)C1 CIXWAH
s1nc2c(n1)C(=O)c3c(nsn3)C2=O CIYNUT
S1(=O)N2C(C=CC1C)CC(OC2=O)C CIZFIA
[Si]1(C([Si](C1([Si](C)(C)C)Cl)(C)C)([Si](C)(C)C)Cl)(C)C CIZJAW
c1(ccccn1)[N+](=NC#N)[O-] CIZWUD
S(C(=C(C#N)c1ccccc1)N(C)C)C CIZYEP
s1c(ncc1[N+](=O)[O-])N2C(=O)NCC2 CIZZUG
O(N1C(C1)(C(=O)N)C(=O)OCC)C COBKIN01
C1(=NC#N)C=CC(=NC#N)c2c1cccc2 COCXUN
n1nnn2c1nc3c(n2)ccc4c3cccc4 COGDEH
Clc1nn(nc1)c2ccccc2 COGYAY
s1nc(nc1C(=N)OC)C#N COHKOZ
[nH+]1cnc2c(c1N(C)C)[nH+]c[nH]2 COJFIQ
S(=O)(OC(C#C)C(C)(C)C)C COKDEL
o1nc(cc1C)[N-]S(=O)(=O)c2ccc(cc2)N COKROJ
P1(N2CCCN1CCN3P(N(CC2)CCC3)C)C COLZUY
BrC1=CC(=O)C2(C(C1=O)C3C=CC2C3)Br COMDIR
C1(=O)OCC2C1C(C2)C#N COMKAQ
[nH]1cc(c2c1cccc2)C=O COMWOQ
[nH]1cc(c2c1cccc2)CN(C)C COMWUW
N1(C(=O)N(C(=O)C2(C1C3C2(C(=O)N(C(=O)N3C)C)F)F)C)C CONBAI
S=C(OC)N CONFAM
[N+]1(CC[N+](C1)(C)C)(C)C CONLIA
S(=O)(=O)(C)C(Cl)C(=O)c1ccccc1 CORDOC
S=C([S-])NC=O CORWUB10
